school_id,school_name,school_level,office_of_education_name,road_address
B000012160,지산고등학교,고등학교,부산광역시교육청,부산광역시 금정구 오륜대로 50
B000011352,영락의료과학고등학교,고등학교,서울특별시교육청,서울특별시 관악구 청룡16길 25
B000012731,파주여자고등학교,고등학교,경기도교육청,경기도 파주시 월롱면 함영골길 10
B000013171,세명고등학교,고등학교,경상북도교육청,경상북도 포항시 남구 새천년대로474번길 13
B000023226,석적고등학교,고등학교,경상북도교육청,경상북도 칠곡군 석적읍 동중리 1길 65-20
B000012985,전주근영여자고등학교,고등학교,전북특별자치도교육청,전북특별자치도 전주시 완산구 영경1길 11
B000012254,인천남동고등학교,고등학교,인천광역시교육청,인천광역시 남동구 은봉로 283
B000012525,송호고등학교,고등학교,경기도교육청,경기도 안산시 상록구 광덕3로 296
B000025533,서천고등학교,고등학교,경기도교육청,경기도 용인시 기흥구 서천서로 126
B000011758,진주기계공업고등학교,고등학교,경상남도교육청,경상남도 진주시 공단로43번길 25
B000012173,기장고등학교,고등학교,부산광역시교육청,부산광역시 기장군 기장읍 차성서로 77
B000011881,공주마이스터고등학교,고등학교,충청남도교육청,충청남도 공주시 유구읍 중앙1길 27-12
B000012957,예산고등학교,고등학교,충청남도교육청,충청남도 예산군 예산읍 예산로 101
B000011626,완산여자고등학교,고등학교,전북특별자치도교육청,전북특별자치도 전주시 완산구 덕적골1길 60
B000013413,서상고등학교,고등학교,경상남도교육청,경상남도 함양군 서상면 서상로 232-1
B000012071,서울세종고등학교,고등학교,서울특별시교육청,서울특별시 강남구 광평로51길 36
B000013088,순천강남여자고등학교,고등학교,전라남도교육청,전라남도 순천시 조례1길 43
B000011983,신도고등학교,고등학교,서울특별시교육청,서울특별시 은평구 통일로 961
B000012921,아산스마트팩토리마이스터고등학교,고등학교,충청남도교육청,충청남도 아산시 둔포면 둔포중앙로133번길 42
B000011562,팔렬고등학교,고등학교,강원특별자치도교육청,강원특별자치도 홍천군 내촌면 동창로 207
B000012647,경기창조고등학교,고등학교,경기도교육청,경기도 안성시 공도읍 공도5로 37
B000011747,한국원자력마이스터고등학교,고등학교,경상북도교육청,경상북도 울진군 평해읍 월송정로 422
B000012139,경혜여자고등학교,고등학교,부산광역시교육청,부산광역시 북구 시랑로21번길 138
B000013352,김해영운고등학교,고등학교,경상남도교육청,경상남도 김해시 인제로284번길 33
B000013375,양산제일고등학교,고등학교,경상남도교육청,경상남도 양산시 회현1길 36
B000013544,안산동산고등학교,고등학교,경기도교육청,경기도 안산시 상록구 충장로 56
B000013212,구미제일고등학교,고등학교,경상북도교육청,경상북도 구미시 선산대로 129
B000012057,상문고등학교,고등학교,서울특별시교육청,서울특별시 서초구 명달로 45
B000011316,경기기계공업고등학교,고등학교,서울특별시교육청,서울특별시 노원구 공릉로 264
B000012752,조종고등학교,고등학교,경기도교육청,경기도 가평군 조종면 연등윗길 22
B000012703,퇴계원고등학교,고등학교,경기도교육청,경기도 남양주시 퇴계원읍 퇴계원로 149
B000011618,충남디자인예술고등학교,고등학교,충청남도교육청,충청남도 서천군 한산면 한마로 114
B000012745,동남고등학교,고등학교,경기도교육청,경기도 포천시 소흘읍 솔모루로3번길 69
B000012334,광주동신고등학교,고등학교,광주광역시교육청,광주광역시 북구 동문대로 50
B000012384,대전전민고등학교,고등학교,대전광역시교육청,대전광역시 유성구 전민로 63
